大学八级英语单词|abase|英[ə'beɪs] 美[ə'beɪs]|v.降低……的地位；降低……的品格；贬低|The president is not willing to abase himself before the nation.|总统不愿在全国人民面前降低自己的威信。|大学八级英语单词
大学八级英语单词|abash|英[ə'bæʃ] 美[ə'bæʃ]|vt.使羞愧；使困窘|His boss's criticism left him feeling rather abashed.<br>Nothing can abash him.|老板批评了他，他感到有些难为情。<br>没有什麽事能让他脸红。|大学八级英语单词
大学八级英语单词|abate|英[ə'beɪt] 美[ə'beɪt]|v.缓和；减弱；消除|Nothing could abate his rage.<br>She is trying to abate the tension between her parents.<br>The ship sailed when the storm abated.<br>We must abate the smoke nuisance in our big cities.|什么都不能平息他的愤怒。<br>她试着缓和她父母的紧张关系。<br>这船在暴风雨减弱时起航。<br>我们必须消除大城市里烟尘污染。|大学八级英语单词
大学八级英语单词|abbreviate|英[ə'briːvieɪt] 美[ə'briːvieɪt]|vt.缩写；缩短；使简略|In writing, the title `Doctor' is abbreviated to `Dr'.<br>It is seldom acceptable to abbreviate words in formal writing.<br>The teacher asked me to abbreviate my report to one page .<br>The United States of america is commonly abbreviated to U.S.a..|在书写时，Doctor 头衔的缩写是 Dr.<br>在正式的书面语中使用缩写语通常是不能接受的。<br>老师让我把报告缩短为一页。<br>美利坚合众国常被缩略为 U.|大学八级英语单词
大学八级英语单词|abdicate|英['æbdɪkeɪt] 美['æbdɪkeɪt]|vt.正式放弃；让位<br>vi.退位；辞职|He was forced to abdicate his claim on the property.<br>He's abdicated all responsibility in the affair.<br>The king was forced to abdicate his throne.<br>King Edward VIII abdicated in 1936.<br>I want to try something different so I abdicate the office.|他被迫放弃要求财产的权利。<br>他已经放弃了这件事中的一切职责。<br>国王被迫逊位。<br>英王爱德华八世于 1936 年退位。<br>我辞职是因为我想尝试些不一样的东西。|大学八级英语单词
大学八级英语单词|aberrant|英[æ'berənt] 美[æ'berənt]|adj.脱离正道的；脱离常轨的；变体的；畸变的|Tending to deviate, as from a normal or recognized type; aberrant.|变异的倾向于偏离，如从一个正常的或被承认了的类型；畸变的|大学八级英语单词
大学八级英语单词|abet|英[ə'bet] 美[ə'bet]|v.煽动；教唆；怂恿|It's illegal to aid and abet a thief.<br>He wouldn't throw the stone if those boys did not abet him.|伙同小偷作案是有罪的。<br>要不是那些男孩子怂恿他，他不会扔那块石头。|大学八级英语单词
大学八级英语单词|abeyance|英[ə'beɪəns] 美[ə'beɪəns]|n.暂时中止；（指问题等）缓议；暂时无效或停用|The question is in abeyance until we know more about it.<br>The decision is in abeyance until he returns from holiday.<br>The rule has been in abeyance since 1966.<br>This custom has fallen into abeyance now.<br>"No imprisonment without trial" is a principle that goes into abeyance when the nation's security is in danger from terrorists.|问题暂时搁置，直到我们了解更多有关情况再行研究。<br>那项决议在他度假回来之前一直搁置着。<br>这项规则从 1966 年起就已失效。<br>这个风俗现在已经不时兴了。<br>当国家的安全受到恐怖分子的威胁时，「没有审判便没有监禁」这一原则也就停止不用了。|大学八级英语单词
大学八级英语单词|abhor|英[əb'hɔː(r)] 美[əb'hɔːr]|vt.憎恶；厌恶；痛恨|They abhor all forms of racial discrimination.<br>Most people abhor cruelyt to children.<br>I abhor every commonplace phrase by which wit is intended.<br>I will put my dwelling place among you, and I will not abhor you.<br>Most people abhor cruelty to children.<br>Spitting in the street is a practice that I abhor.|他们憎恶任何形式的种族歧视。<br>大部分人憎恶虐待儿童。<br>我厌恶所有那些力图表现智慧的陈腐不堪的俗话。<br>我要在你们中间立我的帐幕，我的心也不厌恶你们。<br>大多数人痛恨虐待儿童。<br>我痛恨随地吐痰这种习惯。|大学八级英语单词
大学八级英语单词|abiding|英[ə'baɪdɪŋ] 美[ə'baɪdɪŋ]|adj.持久的|The place had also a more abiding defect.<br>This faith is the abiding creed of our fathers.<br>He had an abiding love of the English countryside.|这块地方还有一种更是由来已久的不良之风。<br>这信念是我们祖先的永久的信念。<br>他永远热爱英国的乡村。|大学八级英语单词
大学八级英语单词|abject|英['æbdʒekt] 美['æbdʒekt]|adj.卑贱的；不幸的；可怜的|She was not aware that the English habits of comfort attach an idea of abject misery to the idea of a barefootedtraveller.|她不了解英国人出于爱舒服的习惯总把一个赤脚的旅行者看成最可怜的人。|大学八级英语单词
大学八级英语单词|abjure|英[əb'dʒʊə(r)] 美[əb'dʒʊr]|v.发誓弃绝；公开放弃|The politician had to abjure his previous statements after the scandal broke out.|在丑闻曝光后，这名政客不得不放弃他之前的言论。|大学八级英语单词
大学八级英语单词|abnegation|英[ˌæbnɪ'ɡeɪʃn] 美[ˌæbnɪ'ɡeɪʃn]|n.克己；自制；放弃|The convent is supreme egoism having for its result supreme abnegation.|修院表现的是极端的自私，而结果是极端的克己。|大学八级英语单词
大学八级英语单词|abolition|英[ˌæbə'lɪʃn] 美[ˌæbə'lɪʃn]|n.废除；废止|He long urged the abolition of capital punishment.<br>It has been two years since the abolition of the custom.<br>The abolition of foreign stereotypes was demanded in that report, yet some comrades are still promoting them.|他长期要求废除死刑。<br>这种习俗已经废止两年了。<br>这里叫洋八股废止，有些同志却实际上还在提倡。|大学八级英语单词
大学八级英语单词|abominate|英[ə'bɒmɪneɪt] 美[ə'bɑːmɪneɪt]|vt.痛恨；憎恶|All the teachers abominate cheating in examinations.|所有教师都憎恶考试作弊。|大学八级英语单词
